Date_measurement,RNA_flow_per_capita_VR01,RNA_flow_per_capita_VR02,RNA_flow_per_capita_VR03,RNA_flow_per_capita_VR04,RNA_flow_per_capita_VR05,RNA_flow_per_capita_VR06,RNA_flow_per_capita_VR07,RNA_flow_per_capita_VR08,RNA_flow_per_capita_VR09,RNA_flow_per_capita_VR10,RNA_flow_per_capita_VR11,RNA_flow_per_capita_VR12,RNA_flow_per_capita_VR13,RNA_flow_per_capita_VR14,RNA_flow_per_capita_VR15,RNA_flow_per_capita_VR16,RNA_flow_per_capita_VR17,RNA_flow_per_capita_VR18,RNA_flow_per_capita_VR19,RNA_flow_per_capita_VR20,RNA_flow_per_capita_VR21,RNA_flow_per_capita_VR22,RNA_flow_per_capita_VR23,RNA_flow_per_capita_VR24,RNA_flow_per_capita_VR25
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-30,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,646,0,6441481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,5356363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10722326
2020-06-09,1111173,0,0,0,0,0,0,0,10162034,0,0,0,0,0,0,0,0,0,0,1838,13418970,0,0,0,0
2020-06-10,0,0,0,0,0,0,846289,129039,0,0,0,0,0,0,13931526,0,0,0,0,0,4314209,841,235832,3885802,0
2020-06-11,0,0,0,159960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28999335,5672053,0,0,0,0,46894965
2020-06-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-14,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-16,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-20,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-21,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-23,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-26,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-02,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-04,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-05,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-07,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-11,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-12,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-18,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-19,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-24,0,0,0,4296,5849928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-25,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,18772571,4476030,0,0,1202888
2020-07-27,0,0,0,1255948,4297715,0,0,0,1573934,4960958,1231525,2052151,109238965,0,177422607,567077,6694137,737,0,0,0,0,0,0,0
2020-07-28,0,5871502,0,0,0,0,0,734032,0,0,0,8875997,0,0,91464,3656775,0,0,1153,13809805,0,185943,0,0,0
2020-07-29,0,0,0,0,0,222085,0,0,0,3011876,0,0,0,0,274155,0,94446331,0,0,7905479,55737,0,1744197,3605961,0
2020-07-30,0,717713,0,0,0,0,19475247,0,3723291,0,0,0,0,0,0,0,0,0,9539688,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51118990,9968,0,0,0
2020-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48584376
2020-08-02,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-04,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-11,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-12,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-14,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-15,0,0,0,0,0,0,14380701,45632210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,0,1627345,0,14178599,0,0,0,0,0,11492557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0,0,0,43155338,0,0,0,0,107534690,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,0,76715025,0,0,0,0,0,0,0,0,0,0,0,0,1069873,42774043,0,0,0,4587602,0,0,0,0,0
2020-08-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6747197,0,0
2020-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-21,0,1557795,0,0,0,0,0,0,0,0,0,61997343,0,0,0,0,29651258,0,0,0,0,0,0,0,0
2020-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62745068,442377,0,0,0,0
2020-08-23,0,0,0,0,0,0,6168801,0,39490946,0,31602,0,155580037,0,0,0,0,0,0,0,1252179,244,0,0,0
2020-08-24,0,0,0,0,0,0,0,0,93330,0,0,0,0,2964,38257322,89985,824801,0,0,6859,22701839,559910,0,0,0
2020-08-25,308844,0,0,0,0,0,0,0,538159,759799,533325,905013,0,0,1403610,0,18138192,118767,1271,16776669,4490,1090036,0,0,18247030
2020-08-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19987255,14352343,0
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64494129,454708,0,0,0,0
2020-08-29,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,0,0,0,0,0,0,0,136876610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,0,0,0,0,0,0,0,0,9418913,0,0,0,0,0,0,0,54922832,27040,0,0,0,0,0,0,0
2020-09-02,2350169,0,3779503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-03,21044215,0,0,29930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11818607
2020-09-04,0,0,0,0,3219025,0,1943,0,19888644,0,0,0,2130,71320161,0,0,0,0,0,115827,4377551,541470,0,0,0
2020-09-05,0,0,0,1361993,13330,2849,0,328620,8778548,0,0,0,35225413,22790,0,791,0,0,0,0,4660379,3155623,0,0,0
2020-09-06,0,0,0,0,0,2461078,685,93222,37970161,5812055,19947753,12886058,0,0,9595,69699344,649823,2421546,0,3141273,643171,8577439,0,0,30122375
2020-09-07,238767,2239,0,372148,0,0,125832,0,3228475,3927449,2111005,505191,33562441,0,24700496,1669829,12462306,1323149,0,1244109,0,0,326739,225886,0
2020-09-08,217964,7093889,41,83475,740262,0,3860236,8247731,4485715,0,0,7118657,765910,0,0,881305,2676956,10240363,0,79409,526,5314533,2982330,1219873,0
2020-09-09,0,285,680221,3316161,188165,67540992,0,0,0,0,0,0,0,0,0,0,0,0,0,673810,0,0,0,0,0
2020-09-10,0,0,751617,0,0,0,34963890,0,2569,0,0,0,0,0,0,5782157,8049582,0,2127,21020860,0,0,0,0,0
2020-09-11,364692,0,440890,0,0,0,0,0,0,0,0,0,17863471,0,0,95060,6413065,6413584,2690851,2734,11236469,8066607,0,0,0
2020-09-12,0,0,0,37570,9859954,14811659,289885,0,0,0,0,0,0,0,0,0,0,0,0,1593256,0,0,0,0,35478005
2020-09-13,65958,0,1557490,984533,0,151,0,515889,21259505,0,5794997,28147,116720359,0,0,30500,747787,2438148,776848,2752834,0,0,0,0,0
2020-09-14,324592,0,80356,0,0,0,532689,10507496,25056598,0,0,2956131,324181,0,54080128,10325841,7568477,7590159,0,404527,238247,17985125,114375,1483648,0
2020-09-15,10518554,2844816,214127,87325,0,0,3085233,1690761,2406726,0,0,0,0,0,0,2773902,30158859,80654,448656,5927887,603338,221,0,3006082,972157
2020-09-16,0,0,0,6150335,2933165,2778002,2623023,4373511,17273953,744919,0,0,1271,5068893,1348512,331290,15853418,5325009,0,775231,10462532,0,6947740,1565719,0
2020-09-17,4252503,0,0,1419353,391584,0,0,0,2234185,10104169,31706392,8620120,2032397,0,0,629,0,0,0,34262751,0,0,0,0,0
2020-09-18,68848,0,0,22901205,2453740,18866186,372074,0,102,0,0,714463,83,0,0,1971965,11875356,0,0,3827069,0,0,0,0,28335176
2020-09-19,70014,82,20235952,838974,18934048,9146,0,0,0,0,0,0,0,0,0,25603083,13635112,0,504050,2799070,0,0,0,0,0
2020-09-20,0,0,0,0,0,0,0,2118461,3355863,0,0,31576836,1463337,0,0,9314436,30830374,18612483,5548071,0,2921,29511919,0,0,0
2020-09-21,36581948,5401,239954,618516,2885117,0,223335,476934,17728824,0,0,2949667,0,0,67227,8891990,4160578,65822,0,9730268,811934,292,4427211,1018926,1893829
2020-09-22,0,6158447,299396,606088,1172587,3572,6097689,10228524,24937675,401879,1974564,7936,37046066,3377907,43478255,5582758,30249340,3569697,368079,5001113,4829214,1234748,0,1388429,0
2020-09-23,548034,0,2159204,2861799,2794220,17958575,13368498,0,4535274,11285569,2442667,1284434,0,29427,0,0,114265,1057428,0,6618133,10062872,0,5441511,1853266,0
2020-09-24,6661172,0,1302012,74897,14080989,37356123,345294,0,956091,0,0,0,0,0,0,158999,10726531,5384044,0,1479240,0,0,0,0,65980673
2020-09-25,0,0,26490466,9996129,0,535,5545716,3035795,1901271,0,0,0,0,418,0,0,0,2555534,7967515,0,0,13936250,0,0,0
2020-09-26,156506,0,1321149,3109971,40555035,0,1100280,280601,15762550,0,0,80631947,6396474,0,0,19561643,3479122,29333305,0,0,8845,89367595,0,0,0
2020-09-27,36321204,0,0,4722,1653078,0,0,12536192,36530092,0,0,2737562,203,0,7943046,27748080,460820849,6742,0,27730871,1385236,463,0,0,1628975
2020-09-28,214820,1388,663260,255505,0,13947,23025312,22210178,20390754,2410139,6464129,7981242,70011551,2392701,158201617,511845,4957733,0,751350,20050970,31151705,7728172,5423669,727372,0
2020-09-29,0,18786955,157687,11890905,0,0,0,2254965,37693436,35545270,59539395,379,22660305,30141848,0,1919,2799252,6580645,15099364,9339533,47827,11611346,0,1741120,0
2020-09-30,0,0,0,378974,772008,35020723,7849281,0,0,0,0,0,0,0,230966,18518994,42035283,7777656,0,339106,0,0,8830997,4277200,0
2020-10-01,35105225,1673,28449524,12494139,0,6844862,0,0,0,0,0,0,0,0,0,0,36248576,0,0,0,0,0,0,0,0
2020-10-02,41160989,0,30604845,8778160,69581537,15302,0,0,0,0,0,34551765,2249799,0,0,18128252,0,0,0,0,6082,61455382,0,0,0
2020-10-03,6215655,0,1287191,13145084,1164542,0,0,0,1628,0,0,14283356,729,0,0,23996903,365567962,9920,0,49348406,16704265,6369,0,0,10262781
2020-10-04,819114,4985,1003898,377013,0,38028,23215353,4650637,51966183,0,8313017,7475156,184250532,18680377,4238222,3046224,32248357,1915817,632618,16777921,17332809,821944,0,0,0
2020-10-05,0,0,0,5986199,18459408,0,2214445,1006449,6257126,49944567,32983007,6769954,15607187,12238,204553109,41995993,12127095,0,151174,27246611,19565196,9016636,5578417,8269519,0
2020-10-06,0,57045642,0,2917331,0,18203634,433081,16105640,193394017,0,0,0,0,0,231947,57519920,3937944,9857203,0,63491145,0,0,0,0,52994593
2020-10-07,5394682,0,2535580,20174028,31292007,46424340,22895948,3482798,44289770,0,0,0,0,0,0,0,19321614,107372896,2045047,0,0,0,52902241,11260540,0
2020-10-08,45294492,0,58696795,45319409,29386953,18770,0,0,50175359,0,0,0,0,0,0,12556691,94324739,55100637,16097648,11657070,4427460,67101436,0,0,0
2020-10-09,3188209,1373436,13037191,34203,0,0,0,0,994861,0,0,0,0,0,0,6613772,731904735,2571562,0,124638708,107657017,2077825,0,0,12363571
2020-10-10,2292552,0,235473,414091,50535497,71085,47985947,9888128,52478584,0,7577815,30436,168784780,52295100,10629008,0,105155599,0,3658,36526682,197785764,34885211,0,0,0
2020-10-11,0,0,0,7514420,26371751,0,0,23892526,99819995,66078278,112204238,9402490,0,0,31895636,0,131547715,21250,3330654,72474898,0,0,0,14094940,0
2020-10-12,1856881,16885581,150280,420445,5485990,20090296,25692823,21082571,16627485,4659540,0,0,4627579,19736,280454595,1447723,27281143,7826963,0,4312310,0,0,3461734,8301529,55868495
2020-10-13,1998487,0,40562651,54252418,333406,2638,0,13027895,47193901,0,0,0,0,0,240065,51860952,0,0,5785669,855658,0,0,21607114,0,0
2020-10-14,0,0,0,344351,4033995,36992210,10386001,225102,28146685,0,0,86615817,3353239,0,0,32470080,40082283,34975720,1496917,9158124,2655796,43207876,1773846,9308537,0
2020-10-15,9145024,38578171,16716827,15445595,63118503,0,0,0,39272383,0,0,0,0,0,0,19942258,0,0,0,0,0,0,0,0,12999968
2020-10-16,9474683,37717,882531,0,0,42532,57675840,0,138842852,0,0,0,0,117859765,0,0,16686003,9064543,5052,61192389,58954993,62558360,0,0,0
2020-10-17,4840081,0,8410349,0,0,0,9234414,15357511,31074720,0,0,0,81863743,23108330,0,6399,0,0,4716706,201022312,0,0,0,0,0
2020-10-18,15220504,0,23066841,177405,6664057,80014042,801871,2188672,8502817,0,0,10497566,1281,40914,0,42922369,42544165,41365729,15279718,22834455,0,0,20533972,0,79362627
2020-10-19,0,0,21690658,21499421,53817748,0,0,253370,104827271,97573935,0,0,0,0,182567242,576236,5281748,6220629,1171467,6102081,6703124,3908501,0,12251615,0
2020-10-20,23091561,36344,0,5272922,0,0,9130830,35972751,26521897,2145525,0,52994888,2805479,0,5082860,38428839,202631933,46766059,10797766,5622163,2135705,63468445,0,11521306,0
2020-10-21,0,0,0,1373843,29938378,165540830,35464983,28247090,248176693,62505243,2217843,0,0,0,44185048,286020239,62484662,847566,0,128968680,174835723,21082,103377908,62335888,12840397
2020-10-22,3998200,33534161,1826515,24753670,486142,51143,42931614,16076649,67576418,0,0,24188845,0,0,0,8053130,455949,0,0,0,0,0,0,0,0
2020-10-23,6080022,0,0,0,0,0,0,53236193,37814324,0,0,0,160773366,33901,0,11273,0,94280997,0,273903941,0,0,0,0,0
2020-10-24,10113940,0,0,22906551,23904112,119207205,837598,0,0,0,0,0,0,0,0,0,0,0,0,78567443,0,0,0,0,215536263
2020-10-25,10622556,2866,35585099,16371476,40297634,0,0,28748842,18242896,0,33267530,4741579,568351118,11181599,0,33358796,126939552,11272031,7809731,72673841,0,0,0,0,0
2020-10-26,0,0,3314343,0,15997866,10205,0,0,44831729,4166705,561,66597629,4414791,0,168055345,26433026,96321304,28488951,5670360,0,4864,49144252,6328929,15667512,0
2020-10-27,354,0,1240163,51433888,112959298,0,11068012,15472630,218540663,102750105,0,0,0,0,498322,96379532,30831683,5921010,29301205,78355555,14650852,8995347,0,0,3803133
2020-10-28,5122974,0,2852679,561405,1143748,98605383,212846113,36729916,148813179,16698835,54811508,42630693,3467,50525926,0,19468564,60967889,0,274402,61141414,20186802,42831811,51991752,18472432,0
2020-10-29,55088394,101649510,24379401,7897907,51089218,0,0,35084989,0,0,0,0,0,0,54538715,0,9556279,23750319,0,0,57140464,4142,0,0,0
2020-10-30,0,0,42467888,5677282,0,102985755,23132,0,0,0,0,0,0,0,0,0,0,0,0,60933937,0,0,0,0,179355437
2020-10-31,0,0,0,0,0,0,0,0,9420819,0,18994629,76414,271612491,0,434409,105146845,155115548,36969755,0,49810765,0,0,0,0,0
2020-11-01,5044255,0,264751,20600484,49685346,0,6594414,6474187,90997583,0,0,147731325,11990877,0,0,40316963,40920651,171414922,13677107,25578571,2814209,159269327,0,0,0
2020-11-02,4821869,4337874,2891145,14777,8910745,4220389,0,13146822,2533846,39577879,1336584,299195,0,97,128222447,2150562,18453887,2965,7489639,30594181,4846097,4868912,21511178,3056006,5550641
2020-11-03,0,0,0,1766927,7544127,14168,23098286,1749709,28069632,11279109,16770043,7788822,1544,104107771,0,16991362,13011339,3369177,1169,11640382,17770700,12503007,0,9829981,0
2020-11-04,1952027,0,11113397,5540782,11376193,34637758,19227472,7147316,40460038,0,0,0,8048219,18737,0,3243385,0,0,0,10451226,16654591,1345,2017166,7206107,7966469
2020-11-05,10356914,62012620,0,395436,4922179,79714721,2364232,0,104089672,0,0,61425309,0,0,0,0,0,49804849,0,8646680,12918204,0,0,0,59748920
2020-11-06,2620711,0,0,9071027,0,0,0,0,47549,0,0,0,0,0,950861,199933030,0,0,0,49427100,27593903,132799317,0,0,0
2020-11-07,38409054,0,382953,33301334,30202026,0,24142861,99837299,73003731,0,0,64123321,3183123,0,0,31363352,2765436,97463248,0,0,0,0,0,0,0
2020-11-08,0,0,17151231,6540563,6449554,8381218,2538,24767047,56877389,64682471,9438,0,0,0,0,0,115176475,22557443,0,69946133,47999610,82802047,0,0,49911632
2020-11-09,36300,37926836,0,112458,17078612,17331779,48645932,3564750,29749921,15495095,8560627,9154784,60771193,25887886,85116035,9818059,22963432,3378,2233043,7452887,6843204,4998934,17811506,24097961,1825070
2020-11-10,13094598,5281,38076753,5714709,38517063,0,0,1544506,26816275,1761392,0,0,31642026,39906,0,13228171,118186429,20645716,0,55682727,0,0,0,0,0
2020-11-11,735467,0,817301,1879598,6881259,44038089,23451677,0,179206911,553300,7855589,9388638,0,0,10121542,24747019,108329293,0,14066055,24373199,0,0,3112072,1832231,0
2020-11-12,0,41843972,0,0,339326544,0,23354159,14247483,2544070,0,0,27172821,30191,44248168,0,62921201,0,0,0,0,27207689,0,0,0,0
2020-11-13,18336822,0,0,0,0,0,0,20490928,46700247,0,0,46349748,0,0,0,88979479,0,0,0,40082245,63524599,425619418,0,0,0
2020-11-14,60276875,0,618308,741236,0,25119688,1203008,0,0,0,0,0,0,0,0,0,259790570,36134732,0,0,89995790,2316,0,0,331753085
2020-11-15,19257322,955,5025200,2374069,0,53401,61840831,14613741,86572218,6572093,42306797,21412071,161408704,37359029,12292703,97817575,52422824,16459383,10264769,151223521,97095180,19813582,23052680,10834647,0
2020-11-16,0,22200569,19073674,25861166,57282980,13594474,0,4773658,15310658,0,0,0,105163348,0,41046963,1933451,17054324,5503788,973825,7053753,0,0,1607949,13187650,0
2020-11-17,6124671,0,0,0,0,0,2119332,931749,10870903,0,0,0,0,0,294615078,5744591,66830041,0,0,14871095,0,0,0,0,0
2020-11-18,0,0,1418,5347109,1401690,22194480,26107120,12170416,462132,26572420,3227367,292,0,0,0,2173682,2743376,2602406,8066831,20925943,3705286,0,3943858,3972132,0
2020-11-19,14070610,22671361,380717,152923,21915692,0,0,0,0,0,0,0,0,0,0,10510199,19373422,52203976,5803332,0,0,0,4045926,54787391,0
2020-11-20,24634346,0,1688908,378990,1064789,40127258,483610,0,14783007,0,0,5898125,0,0,0,0,0,0,0,30317441,20685822,2877,0,0,71638629
2020-11-21,640144,3704,3995551,7541658,16454833,10605,15005517,2339843,27762905,0,13045,0,64219373,8284026,2783897,14255092,487795,0,1659,16400405,10649933,12290146,0,0,0
2020-11-22,0,678,11101128,1173086,4304909,0,0,1661727,35041241,4298747,33197690,15133681,28901812,3636277,0,13237532,0,17702943,0,27235073,0,0,28417786,6613509,0
2020-11-23,0,7435283,0,12197699,4235385,1474511,0,7705244,1283438,409329,0,0,0,0,25731939,17712498,11647524,5362835,0,7023942,0,0,861710,12154678,16962215
2020-11-24,0,319,812839,3872934,0,17081,38073761,26425457,84516356,25051482,942,38352185,2148611,408,0,2472330,85135556,10640259,10236588,14309526,1876706,54603235,0,0,0
2020-11-25,9403041,0,6923433,1671578,3310502,4786437,7527108,2285751,15873391,0,0,0,0,0,999063,5821810,26211306,7110016,5590727,0,2276095,708715,5563839,5974157,0
2020-11-26,3320435,19753329,76562,3559152,22079773,25172446,7306886,2576411,0,9955685,6086340,557,0,0,0,6054006,5048764,0,0,9009457,0,0,0,0,17889323
2020-11-27,0,0,0,0,0,0,0,3124183,24437933,0,0,0,0,22454738,18369931,0,59629409,0,147020,18565457,24580310,10366254,0,0,0
